ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
13646721,346593.53,3.133,10^6 K181,Salivary Gland,P-4,6,18
17409530,442159.72,3.133,10^6 K181,Salivary Gland,P-8,6,18
4985599,126622.09,3.133,10^6 K181,Salivary Gland,P-9,6,18
10528004,58948.836,14.21,10^6 K181,Body,P-4,6,18
24647958,138009.88,14.21,10^6 K181,Body,P-8,6,18
6599456.5,36951.953,14.21,10^6 K181,Body,P-9,6,18
16626846,422281.44,3.133,10^6 K181,Salivary Gland,P-4,7,18
19172206,486927.41,3.133,10^6 K181,Salivary Gland,P-8,7,18
12145188,308458.22,3.133,10^6 K181,Salivary Gland,P-9,7,18
5585386.5,31273.93,14.21,10^6 K181,Body,P-4,7,18
6456204,36149.844,14.21,10^6 K181,Body,P-8,7,18
27124598,151877.17,14.21,10^6 K181,Body,P-9,7,18
4532894,115124.48,3.133,10^6 K181,Salivary Gland,P-4,8,18
12144713,308446.16,3.133,10^6 K181,Salivary Gland,P-8,8,18
7149737.5,181585.94,3.133,10^6 K181,Salivary Gland,P-9,8,18
4900660.5,27439.982,14.21,10^6 K181,Body,P-4,8,18
8438584,47249.672,14.21,10^6 K181,Body,P-8,8,18
12135039,67947.016,14.21,10^6 K181,Body,P-9,8,18
6959543,176755.45,3.133,10^6 K181,Salivary Gland,P-4,9,18
12693040,322372.31,3.133,10^6 K181,Salivary Gland,P-8,9,18
3676997,93386.781,3.133,10^6 K181,Salivary Gland,P-9,9,18
1983590,11106.6,14.21,10^6 K181,Body,P-4,9,18
3332750.8,18660.877,14.21,10^6 K181,Body,P-8,9,18
1266332.1,7090.4995,14.21,10^6 K181,Body,P-9,9,18
7661173.5,194575.16,3.133,10^6 K181,Salivary Gland,P-4,10,18
13811845,350787.28,3.133,10^6 K181,Salivary Gland,P-8,10,18
4591540,116613.94,3.133,10^6 K181,Salivary Gland,P-9,10,18
1619030.6,9065.3438,14.21,10^6 K181,Body,P-4,10,18
1519225.8,8506.5127,14.21,10^6 K181,Body,P-8,10,18
1699816.8,9517.6846,14.21,10^6 K181,Body,P-9,10,18
6163064.5,156526.84,3.133,10^6 K181,Salivary Gland,P-4,11,18
11354297,288371.53,3.133,10^6 K181,Salivary Gland,P-8,11,18
4558179,115766.66,3.133,10^6 K181,Salivary Gland,P-9,11,18
917494.5,5137.2734,14.21,10^6 K181,Body,P-4,11,18
513572.25,2875.6152,14.21,10^6 K181,Body,P-8,11,18
592324.94,3316.5708,14.21,10^6 K181,Body,P-9,11,18
12565451,319131.88,3.133,10^6 K181,Salivary Gland,P-4,12,18
6997806.5,177727.25,3.133,10^6 K181,Salivary Gland,P-8,12,18
3278414,83263.734,3.133,10^6 K181,Salivary Gland,P-9,12,18
634671,3553.6765,14.21,10^6 K181,Body,P-4,12,18
511735.81,2865.3325,14.21,10^6 K181,Body,P-8,12,18
405705,2271.6404,14.21,10^6 K181,Body,P-9,12,18
6984494.5,177389.16,3.133,10^6 K181,Salivary Gland,P-4,13,18
3468677.8,88095.977,3.133,10^6 K181,Salivary Gland,P-8,13,18
6093440.5,154758.56,3.133,10^6 K181,Salivary Gland,P-9,13,18
409225.66,2291.3533,14.21,10^6 K181,Body,P-4,13,18
500036.22,2799.8237,14.21,10^6 K181,Body,P-8,13,18
317841.66,1779.6724,14.21,10^6 K181,Body,P-9,13,18
13897026,352950.66,3.133,10^6 K181,Salivary Gland,P-4,14,18
4685443.5,118998.87,3.133,10^6 K181,Salivary Gland,P-8,14,18
4500947,114313.09,3.133,10^6 K181,Salivary Gland,P-9,14,18
866781.44,4853.3188,14.21,10^6 K181,Body,P-4,14,18
675023.88,3779.6218,14.21,10^6 K181,Body,P-8,14,18
536263.75,3002.6704,14.21,10^6 K181,Body,P-9,14,18
56679.375,1439.5182,3.133,10^6 K181,Salivary Gland,P-4,0,18
50950.52,1294.0192,3.133,10^6 K181,Salivary Gland,P-8,0,18
53606.668,1361.4789,3.133,10^6 K181,Salivary Gland,P-9,0,18
289694.59,1622.0701,14.21,10^6 K181,Body,P-4,0,18
221871.03,1242.3096,14.21,10^6 K181,Body,P-8,0,18
266479.06,1492.0807,14.21,10^6 K181,Body,P-9,0,18
131985.36,3352.1069,3.133,10^6 K181,Salivary Gland,P-4,1,18
177079.38,4497.3853,3.133,10^6 K181,Salivary Gland,P-8,1,18
