"day","exp","Site","Group","Treatment","Mouse","Statistic","Cell_pop"
4,12,"Blood","1A","control","1A-1",0,"IE1"
4,12,"Blood","1A","control","1A-2",0.047,"IE1"
4,12,"Blood","1A","control","1A-3",0,"IE1"
4,12,"Blood","1A","control","1A-4",0,"IE1"
4,12,"Blood","1A","control","1A-5",0.061,"IE1"
4,12,"Blood","1B","infected","1B-1",0.099,"IE1"
4,12,"Blood","1B","infected","1B-2",0.099,"IE1"
4,12,"Blood","1B","infected","1B-3",0.16,"IE1"
4,12,"Blood","1B","infected","1B-4",0,"IE1"
4,12,"Blood","1B","infected","1B-5",0.12,"IE1"
8,12,"Blood","1A","control","1A-1",0.18,"IE1"
8,12,"Blood","1A","control","1A-2",0.042,"IE1"
8,12,"Blood","1A","control","1A-3",0.062,"IE1"
8,12,"Blood","1A","control","1A-4",0.1,"IE1"
8,12,"Blood","1A","control","1A-5",0.043,"IE1"
8,12,"Blood","1B","infected","1B-1",1.67,"IE1"
8,12,"Blood","1B","infected","1B-2",0.54,"IE1"
8,12,"Blood","1B","infected","1B-3",1.84,"IE1"
8,12,"Blood","1B","infected","1B-4",3.26,"IE1"
8,12,"Blood","1B","infected","1B-5",2.24,"IE1"
8,12,"Salivary Gland","1A","control","1A-1",0.14,"IE1"
8,12,"Salivary Gland","1A","control","1A-2",0.07,"IE1"
8,12,"Salivary Gland","1A","control","1A-3",0.067,"IE1"
8,12,"Salivary Gland","1A","control","1A-4",0,"IE1"
8,12,"Salivary Gland","1A","control","1A-5",0,"IE1"
8,12,"Salivary Gland","1B","infected","1B-1",3.85,"IE1"
8,12,"Salivary Gland","1B","infected","1B-2",0.9,"IE1"
8,12,"Salivary Gland","1B","infected","1B-3",0.36,"IE1"
8,12,"Salivary Gland","1B","infected","1B-4",0.4,"IE1"
8,12,"Salivary Gland","1B","infected","1B-5",0.2,"IE1"
8,12,"Spleen","1A","control","1A-1",0.03,"IE1"
8,12,"Spleen","1A","control","1A-2",0.043,"IE1"
8,12,"Spleen","1A","control","1A-3",0.032,"IE1"
8,12,"Spleen","1A","control","1A-4",0.051,"IE1"
8,12,"Spleen","1A","control","1A-5",0.02,"IE1"
8,12,"Spleen","1B","infected","1B-1",0.78,"IE1"
8,12,"Spleen","1B","infected","1B-2",0.31,"IE1"
8,12,"Spleen","1B","infected","1B-3",0.71,"IE1"
8,12,"Spleen","1B","infected","1B-4",2.13,"IE1"
8,12,"Spleen","1B","infected","1B-5",1.25,"IE1"
4,12,"Blood","1A","control","1A-1",1.19,"KLRG1"
4,12,"Blood","1A","control","1A-2",0.65,"KLRG1"
4,12,"Blood","1A","control","1A-3",0.92,"KLRG1"
4,12,"Blood","1A","control","1A-4",0.68,"KLRG1"
4,12,"Blood","1A","control","1A-5",0.61,"KLRG1"
4,12,"Blood","1B","infected","1B-1",0.75,"KLRG1"
4,12,"Blood","1B","infected","1B-2",0.9,"KLRG1"
4,12,"Blood","1B","infected","1B-3",1.01,"KLRG1"
4,12,"Blood","1B","infected","1B-4",1.66,"KLRG1"
4,12,"Blood","1B","infected","1B-5",1.41,"KLRG1"
8,12,"Blood","1A","control","1A-1",2.85,"KLRG1"
8,12,"Blood","1A","control","1A-2",1.19,"KLRG1"
8,12,"Blood","1A","control","1A-3",1.57,"KLRG1"
8,12,"Blood","1A","control","1A-4",1.36,"KLRG1"
8,12,"Blood","1A","control","1A-5",1.38,"KLRG1"
8,12,"Blood","1B","infected","1B-1",15.6,"KLRG1"
8,12,"Blood","1B","infected","1B-2",11.3,"KLRG1"
8,12,"Blood","1B","infected","1B-3",18.5,"KLRG1"
8,12,"Blood","1B","infected","1B-4",20,"KLRG1"
8,12,"Blood","1B","infected","1B-5",21,"KLRG1"
8,12,"Salivary Gland","1A","control","1A-1",0.21,"KLRG1"
8,12,"Salivary Gland","1A","control","1A-2",0.00334,"KLRG1"
8,12,"Salivary Gland","1A","control","1A-3",0.013,"KLRG1"
8,12,"Salivary Gland","1A","control","1A-4",0.06,"KLRG1"
8,12,"Salivary Gland","1A","control","1A-5",7.69,"KLRG1"
8,12,"Salivary Gland","1B","infected","1B-1",21.2,"KLRG1"
8,12,"Salivary Gland","1B","infected","1B-2",1.81,"KLRG1"
8,12,"Salivary Gland","1B","infected","1B-3",0.53,"KLRG1"
8,12,"Salivary Gland","1B","infected","1B-4",0.81,"KLRG1"
8,12,"Salivary Gland","1B","infected","1B-5",0.3,"KLRG1"
8,12,"Spleen","1A","control","1A-1",0.72,"KLRG1"
8,12,"Spleen","1A","control","1A-2",0.31,"KLRG1"
8,12,"Spleen","1A","control","1A-3",0.61,"KLRG1"
8,12,"Spleen","1A","control","1A-4",0.54,"KLRG1"
8,12,"Spleen","1A","control","1A-5",0.46,"KLRG1"
8,12,"Spleen","1B","infected","1B-1",6.29,"KLRG1"
8,12,"Spleen","1B","infected","1B-2",3.92,"KLRG1"
8,12,"Spleen","1B","infected","1B-3",7.09,"KLRG1"
8,12,"Spleen","1B","infected","1B-4",12.6,"KLRG1"
8,12,"Spleen","1B","infected","1B-5",11.7,"KLRG1"
4,12,"Blood","1A","control","1A-1",0.97,"NK"
4,12,"Blood","1A","control","1A-2",17.4,"NK"
4,12,"Blood","1A","control","1A-3",6.51,"NK"
4,12,"Blood","1A","control","1A-4",13.7,"NK"
4,12,"Blood","1A","control","1A-5",2.7,"NK"
4,12,"Blood","1B","infected","1B-1",3.31,"NK"
4,12,"Blood","1B","infected","1B-2",32.8,"NK"
4,12,"Blood","1B","infected","1B-3",3.32,"NK"
4,12,"Blood","1B","infected","1B-4",11.6,"NK"
4,12,"Blood","1B","infected","1B-5",3.5,"NK"
8,12,"Blood","1A","control","1A-1",12.1,"NK"
8,12,"Blood","1A","control","1A-2",9.6,"NK"
8,12,"Blood","1A","control","1A-3",24.3,"NK"
8,12,"Blood","1A","control","1A-4",23.9,"NK"
8,12,"Blood","1A","control","1A-5",2.64,"NK"
8,12,"Blood","1B","infected","1B-1",5.62,"NK"
8,12,"Blood","1B","infected","1B-2",10,"NK"
8,12,"Blood","1B","infected","1B-3",16.2,"NK"
8,12,"Blood","1B","infected","1B-4",14.9,"NK"
8,12,"Blood","1B","infected","1B-5",12.8,"NK"
8,12,"Salivary Gland","1A","control","1A-1",0.67,"NK"
8,12,"Salivary Gland","1A","control","1A-2",1.92,"NK"
8,12,"Salivary Gland","1A","control","1A-3",1.28,"NK"
8,12,"Salivary Gland","1A","control","1A-4",1.12,"NK"
8,12,"Salivary Gland","1A","control","1A-5",27.5,"NK"
8,12,"Salivary Gland","1B","infected","1B-1",16.6,"NK"
8,12,"Salivary Gland","1B","infected","1B-2",26.3,"NK"
8,12,"Salivary Gland","1B","infected","1B-3",16.7,"NK"
8,12,"Salivary Gland","1B","infected","1B-4",25,"NK"
8,12,"Salivary Gland","1B","infected","1B-5",16.3,"NK"
8,12,"Spleen","1A","control","1A-1",26.4,"NK"
8,12,"Spleen","1A","control","1A-2",23.5,"NK"
8,12,"Spleen","1A","control","1A-3",23.9,"NK"
8,12,"Spleen","1A","control","1A-4",28.2,"NK"
8,12,"Spleen","1A","control","1A-5",29.6,"NK"
8,12,"Spleen","1B","infected","1B-1",23.4,"NK"
8,12,"Spleen","1B","infected","1B-2",31.2,"NK"
8,12,"Spleen","1B","infected","1B-3",23.9,"NK"
8,12,"Spleen","1B","infected","1B-4",31.5,"NK"
8,12,"Spleen","1B","infected","1B-5",29.7,"NK"
4,12,"Blood","1A","control","1A-1",50.5,"NK_KLRG1"
4,12,"Blood","1A","control","1A-2",60.9,"NK_KLRG1"
4,12,"Blood","1A","control","1A-3",59.6,"NK_KLRG1"
4,12,"Blood","1A","control","1A-4",63.7,"NK_KLRG1"
4,12,"Blood","1A","control","1A-5",47.3,"NK_KLRG1"
4,12,"Blood","1B","infected","1B-1",66.5,"NK_KLRG1"
4,12,"Blood","1B","infected","1B-2",56.8,"NK_KLRG1"
4,12,"Blood","1B","infected","1B-3",53.6,"NK_KLRG1"
4,12,"Blood","1B","infected","1B-4",69.4,"NK_KLRG1"
4,12,"Blood","1B","infected","1B-5",63.1,"NK_KLRG1"
8,12,"Blood","1A","control","1A-1",43.7,"NK_KLRG1"
8,12,"Blood","1A","control","1A-2",40,"NK_KLRG1"
8,12,"Blood","1A","control","1A-3",57.6,"NK_KLRG1"
8,12,"Blood","1A","control","1A-4",60.6,"NK_KLRG1"
8,12,"Blood","1A","control","1A-5",27.2,"NK_KLRG1"
8,12,"Blood","1B","infected","1B-1",57.3,"NK_KLRG1"
8,12,"Blood","1B","infected","1B-2",49.9,"NK_KLRG1"
8,12,"Blood","1B","infected","1B-3",55.8,"NK_KLRG1"
8,12,"Blood","1B","infected","1B-4",50.9,"NK_KLRG1"
8,12,"Blood","1B","infected","1B-5",30.4,"NK_KLRG1"
8,12,"Salivary Gland","1A","control","1A-1",2.06,"NK_KLRG1"
8,12,"Salivary Gland","1A","control","1A-2",6.75,"NK_KLRG1"
8,12,"Salivary Gland","1A","control","1A-3",7.16,"NK_KLRG1"
8,12,"Salivary Gland","1A","control","1A-4",0.88,"NK_KLRG1"
8,12,"Salivary Gland","1A","control","1A-5",32.6,"NK_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-1",22.3,"NK_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-2",28,"NK_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-3",30.5,"NK_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-4",35.7,"NK_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-5",18.5,"NK_KLRG1"
8,12,"Spleen","1A","control","1A-1",33.9,"NK_KLRG1"
8,12,"Spleen","1A","control","1A-2",37.2,"NK_KLRG1"
8,12,"Spleen","1A","control","1A-3",31.1,"NK_KLRG1"
8,12,"Spleen","1A","control","1A-4",29.4,"NK_KLRG1"
8,12,"Spleen","1A","control","1A-5",38.1,"NK_KLRG1"
8,12,"Spleen","1B","infected","1B-1",53.9,"NK_KLRG1"
8,12,"Spleen","1B","infected","1B-2",52.9,"NK_KLRG1"
8,12,"Spleen","1B","infected","1B-3",48.9,"NK_KLRG1"
8,12,"Spleen","1B","infected","1B-4",56.4,"NK_KLRG1"
8,12,"Spleen","1B","infected","1B-5",46.4,"NK_KLRG1"
