"ROI_TOTAL.Photons.s","MEAN.Photons.s.cm.2.sr","AREA.Pixels..cm.2","Treatment","Site","Group","Mouse_number","day","exp","Mouse"
72916.352,1851.8978,3.133,"control","Salivary Gland","1A","1",1,12,"1A-1"
61933.438,1572.9585,3.133,"control","Salivary Gland","1A","2",1,12,"1A-2"
65823.594,1671.759,3.133,"control","Salivary Gland","1A","3",1,12,"1A-3"
78710.156,1999.0464,3.133,"control","Salivary Gland","1A","4",1,12,"1A-4"
73834.578,1875.2188,3.133,"control","Salivary Gland","1A","5",1,12,"1A-5"
302845.41,1695.7047,14.21,"control","Body","1A","1",1,12,"1A-1"
280749.69,1571.9854,14.21,"control","Body","1A","2",1,12,"1A-2"
296708.97,1661.3452,14.21,"control","Body","1A","3",1,12,"1A-3"
285457.28,1598.3444,14.21,"control","Body","1A","4",1,12,"1A-4"
283629.78,1588.1117,14.21,"control","Body","1A","5",1,12,"1A-5"
48545.207,1232.9302,3.133,"control","Salivary Gland","1A","1",2,12,"1A-1"
56202.34,1427.4027,3.133,"control","Salivary Gland","1A","2",2,12,"1A-2"
38780.621,984.93347,3.133,"control","Salivary Gland","1A","3",2,12,"1A-3"
53087.082,1348.2827,3.133,"control","Salivary Gland","1A","4",2,12,"1A-4"
49467.914,1256.3646,3.133,"control","Salivary Gland","1A","5",2,12,"1A-5"
238918.75,1337.7638,14.21,"control","Body","1A","1",2,12,"1A-1"
246443.75,1379.8981,14.21,"control","Body","1A","2",2,12,"1A-2"
231707.28,1297.3851,14.21,"control","Body","1A","3",2,12,"1A-3"
220070.41,1232.2274,14.21,"control","Body","1A","4",2,12,"1A-4"
205844.58,1157.2399,14.15,"control","Body","1A","5",2,12,"1A-5"
39085.211,992.66919,3.133,"control","Salivary Gland","1A","1",3,12,"1A-1"
40706.668,1033.8502,3.133,"control","Salivary Gland","1A","2",3,12,"1A-2"
40478.227,1028.0485,3.133,"control","Salivary Gland","1A","3",3,12,"1A-3"
35018.125,889.37518,3.133,"control","Salivary Gland","1A","4",3,12,"1A-4"
16165.312,410.5596,3.133,"control","Salivary Gland","1A","5",3,12,"1A-5"
262102.92,1467.5775,14.21,"control","Body","1A","1",3,12,"1A-1"
238148.31,1333.45,14.21,"control","Body","1A","2",3,12,"1A-2"
220097.3,1232.3779,14.21,"control","Body","1A","3",3,12,"1A-3"
258868.95,1455.3381,14.15,"control","Body","1A","4",3,12,"1A-4"
202646.47,1134.6665,14.21,"control","Body","1A","5",3,12,"1A-5"
72730.461,1847.1768,3.133,"control","Salivary Gland","1A","1",4,12,"1A-1"
56061.246,1423.8192,3.133,"control","Salivary Gland","1A","2",4,12,"1A-2"
49658.277,1261.1995,3.133,"control","Salivary Gland","1A","3",4,12,"1A-3"
64087.91,1627.677,3.133,"control","Salivary Gland","1A","4",4,12,"1A-4"
22183.072,563.39606,3.133,"control","Salivary Gland","1A","5",4,12,"1A-5"
384617.06,2153.564,14.21,"control","Body","1A","1",4,12,"1A-1"
361737.5,2025.4557,14.21,"control","Body","1A","2",4,12,"1A-2"
539340.94,3019.9004,14.21,"control","Body","1A","3",4,12,"1A-3"
419281.34,2357.1621,14.15,"control","Body","1A","4",4,12,"1A-4"
130845.41,735.6012,14.15,"control","Body","1A","5",4,12,"1A-5"
73153.75,1857.9271,3.133,"control","Salivary Gland","1A","1",5,12,"1A-1"
70976.875,1802.6399,3.133,"control","Salivary Gland","1A","2",5,12,"1A-2"
67814.586,1722.3254,3.133,"control","Salivary Gland","1A","3",5,12,"1A-3"
64856.09,1647.1869,3.133,"control","Salivary Gland","1A","4",5,12,"1A-4"
73556.867,1868.1655,3.133,"control","Salivary Gland","1A","5",5,12,"1A-5"
317949.16,1780.2742,14.21,"control","Body","1A","1",5,12,"1A-1"
304242.91,1703.5295,14.21,"control","Body","1A","2",5,12,"1A-2"
288615.09,1616.0256,14.21,"control","Body","1A","3",5,12,"1A-3"
316748.75,1773.5529,14.21,"control","Body","1A","4",5,12,"1A-4"
325214.38,1820.9539,14.21,"control","Body","1A","5",5,12,"1A-5"
65413.754,1661.3501,3.133,"control","Salivary Gland","1A","1",6,12,"1A-1"
50681.766,1287.1936,3.133,"control","Salivary Gland","1A","2",6,12,"1A-2"
51131.922,1298.6265,3.133,"control","Salivary Gland","1A","3",6,12,"1A-3"
55355.785,1405.9021,3.133,"control","Salivary Gland","1A","4",6,12,"1A-4"
60791.25,1543.9498,3.133,"control","Salivary Gland","1A","5",6,12,"1A-5"
303311.25,1698.313,14.21,"control","Body","1A","1",6,12,"1A-1"
269713,1510.1884,14.21,"control","Body","1A","2",6,12,"1A-2"
257825.3,1443.6262,14.21,"control","Body","1A","3",6,12,"1A-3"
305071.56,1708.1693,14.21,"control","Body","1A","4",6,12,"1A-4"
272190,1524.0575,14.21,"control","Body","1A","5",6,12,"1A-5"
134128.64,3406.541,3.133,"control","Salivary Gland","1A","1",7,12,"1A-1"
119788.59,3042.3386,3.133,"control","Salivary Gland","1A","2",7,12,"1A-2"
81695.523,2074.8674,3.133,"control","Salivary Gland","1A","3",7,12,"1A-3"
102698.33,2608.2878,3.133,"control","Salivary Gland","1A","4",7,12,"1A-4"
113956.71,2894.2231,3.133,"control","Salivary Gland","1A","5",7,12,"1A-5"
508788.5,2848.8298,14.21,"control","Body","1A","1",7,12,"1A-1"
505841.25,2832.3274,14.21,"control","Body","1A","2",7,12,"1A-2"
447186.56,2503.9058,14.21,"control","Body","1A","3",7,12,"1A-3"
481698.53,2708.0662,14.15,"control","Body","1A","4",7,12,"1A-4"
480910.19,2692.7324,14.21,"control","Body","1A","5",7,12,"1A-5"
79711.25,2024.4717,3.133,"infected","Salivary Gland","1B","1",1,12,"1B-1"
109739.59,2787.1184,3.133,"infected","Salivary Gland","1B","2",1,12,"1B-2"
87487.078,2221.959,3.133,"infected","Salivary Gland","1B","3",1,12,"1B-3"
83961.977,2132.4299,3.133,"infected","Salivary Gland","1B","4",1,12,"1B-4"
108619.79,2758.6782,3.133,"infected","Salivary Gland","1B","5",1,12,"1B-5"
341267.72,1910.8403,14.21,"infected","Body","1B","1",1,12,"1B-1"
274698.31,1538.1023,14.21,"infected","Body","1B","2",1,12,"1B-2"
308112.91,1725.1986,14.21,"infected","Body","1B","3",1,12,"1B-3"
324461.88,1824.0957,14.15,"infected","Body","1B","4",1,12,"1B-4"
312180,1755.0481,14.15,"infected","Body","1B","5",1,12,"1B-5"
134558.63,3417.4619,3.133,"infected","Salivary Gland","1B","1",2,12,"1B-1"
119844.58,3043.7607,3.133,"infected","Salivary Gland","1B","2",2,12,"1B-2"
115566.98,2935.1199,3.133,"infected","Salivary Gland","1B","3",2,12,"1B-3"
98725.305,2507.3826,3.133,"infected","Salivary Gland","1B","4",2,12,"1B-4"
282317.38,7170.1748,3.133,"infected","Salivary Gland","1B","5",2,12,"1B-5"
312914.56,1752.0844,14.21,"infected","Body","1B","1",2,12,"1B-1"
271330,1519.2422,14.21,"infected","Body","1B","2",2,12,"1B-2"
312135.19,1747.7205,14.21,"infected","Body","1B","3",2,12,"1B-3"
346239.56,1946.528,14.15,"infected","Body","1B","4",2,12,"1B-4"
301824.16,1696.8285,14.15,"infected","Body","1B","5",2,12,"1B-5"
276920,7033.0938,3.133,"infected","Salivary Gland","1B","1",3,12,"1B-1"
202854.73,5152.0166,3.133,"infected","Salivary Gland","1B","2",3,12,"1B-2"
232867.39,5914.2651,3.133,"infected","Salivary Gland","1B","3",3,12,"1B-3"
115083.23,2922.834,3.133,"infected","Salivary Gland","1B","4",3,12,"1B-4"
1374887,34918.781,3.133,"infected","Salivary Gland","1B","5",3,12,"1B-5"
350673.94,1963.5082,14.21,"infected","Body","1B","1",3,12,"1B-1"
325142.72,1820.5526,14.21,"infected","Body","1B","2",3,12,"1B-2"
344931.66,1931.3558,14.21,"infected","Body","1B","3",3,12,"1B-3"
346871.13,1942.2153,14.21,"infected","Body","1B","4",3,12,"1B-4"
390538.5,2186.7197,14.21,"infected","Body","1B","5",3,12,"1B-5"
365770.97,9289.6934,3.133,"infected","Salivary Gland","1B","1",4,12,"1B-1"
569938.06,14475.041,3.133,"infected","Salivary Gland","1B","2",4,12,"1B-2"
260266.47,6610.1343,3.133,"infected","Salivary Gland","1B","3",4,12,"1B-3"
